Instances,algo_fixed_angles_constant,algo_fourier,algo_interp,algo_qibpi,algo_random,algo_three_regular,algo_tqa,feature_algebraic_connectivity,feature_average_distance,feature_bipartite,feature_clique_number,feature_density,feature_diameter,feature_edge_connectivity,feature_entropy,feature_eulerian,feature_group_size,feature_is_distance_regular,feature_laplacian_largest_eigenvalue,feature_laplacian_second_largest_eigenvalue,feature_maximum_degree,feature_maximum_weighted_degree,feature_minimum_degree,feature_minimum_dominating_set,feature_minimum_weighted_degree,feature_number_of_cut_vertices,feature_number_of_edges,feature_number_of_minimal_odd_cycles,feature_number_of_orbits,feature_planar,feature_radius,feature_ratio_of_two_largest_laplacian_eigenvaleus,feature_regular,feature_smallest_eigenvalue,feature_vertex_connectivity,feature_weighted_average_clustering,feature_weighted_average_shortest_path_length,feature_weighted_diameter,feature_weighted_radius
eb560624c1804b139574af4d69be7070,40.0,453.0,246.0,9.0,48.0,26.0,17.0,0.4999999999999999,1.818181818181818,0,3,0.1818181818181818,2,1,1.7634429630954886,0,725760.0,0,12.0,0.9999999999999992,11,5.5,1,1,0.5,1,12,1,3,1,1,12.000000000000009,0,0.0,1,0.1681818181818181,0.9090909090909092,1.0,0.5
622e2d1a562646e895c35ee95fc731eb,31.0,1167.0,514.0,10.0,100.0,13.0,29.0,0.6636893196060919,1.7878787878787878,0,3,0.3636363636363636,3,4,0.0,1,1.0,0,6.626573154929992,1.3273786392121856,4,2.0,4,4,2.0,0,24,10,12,0,2,4.992225246944564,1,6.661338147750939e-16,3,0.375,0.8939393939393939,1.5,1.0
90ed84bb3926470a848c34c5bdfbb44b,39.0,548.0,453.0,10.0,53.0,10.0,26.0,0.3879881713744897,2.0454545454545454,0,2,0.2727272727272727,3,3,0.5776226504666211,0,4.0,0,5.755107687322889,0.7759763427489795,3,1.5,3,4,1.5,0,18,3,7,0,3,7.416601989352925,1,-1.7763568394002505e-15,3,0.0,1.0227272727272727,1.5,1.5
101bb74ec874453c9d9224c59e45b0f8,82.0,1411.0,384.0,10.0,115.0,10.0,36.0,0.4589527371856405,2.0303030303030303,0,3,0.2727272727272727,3,3,0.6931471805599453,0,2.0,0,5.3893733010977085,0.917905474371281,3,1.5,3,4,1.5,0,18,6,6,0,3,5.871381587291609,1,4.440892098500626e-16,3,0.1666666666666666,1.0151515151515151,1.5,1.5
674f65cb8f6f48d39dbe6eb5d10bb5a9,279.0,100000.0,663.0,16.0,100000.0,14.0,34.0,0.7248428642537023,1.7121212121212122,0,3,0.3636363636363636,3,3,0.0,0,1.0,0,6.999999999999997,1.449685728507404,5,2.5,3,4,1.5,0,24,9,12,0,2,4.828632759741103,0,0.0,3,0.3611111111111111,0.8560606060606061,1.5,1.0
7d07a11dae1245e3a317c809a5becd2a,96.0,100000.0,100000.0,18.0,100000.0,16.0,28.0,0.7459503260937728,1.621212121212121,0,4,0.4393939393939394,3,2,0.0,0,1.0,0,9.398858006862282,1.4919006521875504,8,4.0,2,3,1.0,0,29,13,12,0,2,6.299922178518312,0,0.0,2,0.4271825396825395,0.8106060606060606,1.5,1.0
c411fd61f9fd4d13aa5c40d370dd5d82,251.0,100000.0,1079.0,24.0,100000.0,19.0,47.0,0.7367887087378363,1.7121212121212122,0,3,0.3636363636363636,3,3,0.0,0,1.0,0,7.379732864351762,1.473577417475676,5,2.5,3,4,1.5,0,24,10,12,0,2,5.008038788347935,0,-8.881784197001252e-16,3,0.2638888888888889,0.8560606060606061,1.5,1.0
18a5fd9af8f344069a68d035bfc99615,100000.0,100000.0,100000.0,100000.0,100000.0,20.0,36.0,3.159334678197512,1.121212121212121,0,9,0.8787878787878788,2,7,1.0171727204608478,0,960.0,0,12.000000000000004,6.318669356395012,11,5.5,7,2,3.5,0,58,47,5,0,1,1.899134030150671,0,0.0,7,0.9153198653198654,0.5606060606060606,1.0,0.5
a62746cef17949f7ba4ca3b764f88669,96.0,100000.0,537.0,17.0,100000.0,12.0,26.0,0.6021971496654099,1.7575757575757576,0,3,0.3636363636363636,3,3,0.0,0,1.0,0,7.762489981090326,1.2043942993308223,6,3.0,3,5,1.5,0,24,8,12,0,2,6.445140088593304,0,-8.881784197001252e-16,3,0.2888888888888889,0.8787878787878788,1.5,1.0
5a54ad7dde5b4572aca03c49ed3b6f57,100000.0,100000.0,664.0,16.0,100000.0,30.0,50.0,0.0560391679736499,3.227272727272727,1,2,0.1666666666666666,7,1,0.2746530721670274,0,6.0,0,5.338687566072705,0.1120783359473002,4,2.0,1,5,0.5,6,11,0,10,1,4,47.63353703415958,0,1.5830694811121568e-17,1,0.0,1.6136363636363635,3.5,2.0
